X,Y,Index_,ACCNUM,YEAR,DATE,TIME,Hour,STREET1,STREET2,OFFSET,ROAD_CLASS,District,WardNum,WardNum_X,WardNum_Y,Division,Division_X,Division_Y,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,Hood_ID,Neighbourh,ObjectId
-79.366695,43.659266,80564319,6001211373,2016,2016-07-11T04:00:00.000Z,27,0,429 DUNDAS ST E, ,15 m North of,Major Arterial,Toronto and East York,13,0,0,51,0,0,43.659266,-79.366695,Intersection,Intersection Related,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,25 to 29,Major,0,East,Bicycle,Going Ahead, , , , , ,Cyclist and Driver travelling in same direction. One vehicle sideswipes the other.,Other,Had Been Drinking, ,Yes,Yes, , , , ,Yes, , , , , ,73,Moss Park (73),13
-79.366695,43.659266,80564320,6001211373,2016,2016-07-11T04:00:00.000Z,27,0,429 DUNDAS ST E, ,15 m North of,Major Arterial,Toronto and East York,13,0,0,51,0,0,43.659266,-79.366695,Intersection,Intersection Related,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Driver,20 to 24,None,0,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal, , , , , , , ,Yes,Yes, , , , ,Yes, , , , , ,73,Moss Park (73),14
-79.366695,43.659266,80564321,6001211373,2016,2016-07-11T04:00:00.000Z,27,0,429 DUNDAS ST E, ,15 m North of,Major Arterial,Toronto and East York,13,0,0,51,0,0,43.659266,-79.366695,Intersection,Intersection Related,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Passenger,20 to 24,None,0, , , , , , , , , , , , ,Yes,Yes, , , , ,Yes, , , , , ,73,Moss Park (73),15
-79.366695,43.659266,80564322,6001211373,2016,2016-07-11T04:00:00.000Z,27,0,429 DUNDAS ST E, ,15 m North of,Major Arterial,Toronto and East York,13,0,0,51,0,0,43.659266,-79.366695,Intersection,Intersection Related,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Passenger,25 to 29,None,0, , , , , , , , , , , , ,Yes,Yes, , , , ,Yes, , , , , ,73,Moss Park (73),16
-79.366695,43.659266,80564323,6001211373,2016,2016-07-11T04:00:00.000Z,27,0,429 DUNDAS ST E, ,15 m North of,Major Arterial,Toronto and East York,13,0,0,51,0,0,43.659266,-79.366695,Intersection,Intersection Related,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Passenger,20 to 24,Major,0, , , , , , , , , , , , ,Yes,Yes, , , , ,Yes, , , , , ,73,Moss Park (73),17
-79.420032,43.649394,80632469,6000874773,2016,2016-05-15T04:00:00.000Z,30,0,DUNDAS ST W,OSSINGTON AVE,40 m East of,Major Arterial,Toronto and East York,1110,10,11,14,0,0,43.649394,-79.420032,Mid-Block,Non Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,unknown,None,0,West,"Automobile, Station Wagon",Making U Turn,Improper Turn,Inattentive, , , , , , , ,Yes,Yes, , , , , , , , , , ,81,Trinity-Bellwoods (81),18
-79.420032,43.649394,80632470,6000874773,2016,2016-05-15T04:00:00.000Z,30,0,DUNDAS ST W,OSSINGTON AVE,40 m East of,Major Arterial,Toronto and East York,1110,10,11,14,0,0,43.649394,-79.420032,Mid-Block,Non Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,20 to 24,Major,0,East,Bicycle,Going Ahead, , , , , ,Motorist makes u-turn in-front of cyclist.,Driving Properly,Normal, ,Yes,Yes, , , , , , , , , , ,81,Trinity-Bellwoods (81),19
-79.398433,43.664099,80198361,3001015663,2013,2013-11-22T05:00:00.000Z,31,0,HOSKIN AVE,ST GEORGE ST, ,Minor Arterial,Toronto and East York,11,0,0,52,0,0,43.664099,-79.398433,Intersection,Intersection Related,Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Cyclist Collisions,Cyclist,20 to 24,Major,0,South,Bicycle,Going Ahead, , , , , ,"Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.",Disobeyed Traffic Control,Unknown, ,Yes,Yes, , , , , , , , , , ,79,University (79),20
-79.398433,43.664099,80198362,3001015663,2013,2013-11-22T05:00:00.000Z,31,0,HOSKIN AVE,ST GEORGE ST, ,Minor Arterial,Toronto and East York,11,0,0,52,0,0,43.664099,-79.398433,Intersection,Intersection Related,Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Cyclist Collisions,Driver,20 to 24,None,0,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Unknown, , , , , , , ,Yes,Yes, , , , , , , , , , ,79,University (79),21
-79.438152,43.666419,81073531,8001708273,2018,2018-09-15T04:00:00.000Z,50,0,DUFFERIN ST,LAPPIN AV,8 m East of,Major Arterial,Toronto and East York,9,0,0,"11,14",14,11,43.666419,-79.438152,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Driver,45 to 49,None,0,North,"Automobile, Station Wagon",Making U Turn,Improper Lane Change,Normal, , , , , , , ,Yes,Yes, , , , , , , , , , ,93,Dovercourt-Wallace Emerson-Junction (93),22
-79.438152,43.666419,81073532,8001708273,2018,2018-09-15T04:00:00.000Z,50,0,DUFFERIN ST,LAPPIN AV,8 m East of,Major Arterial,Toronto and East York,9,0,0,"11,14",14,11,43.666419,-79.438152,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,45 to 49,Major,0,North,Bicycle,Going Ahead, , , , , , ,Driving Properly,Normal, ,Yes,Yes, , , , , , , , , , ,93,Dovercourt-Wallace Emerson-Junction (93),23
-79.438152,43.666419,81073533,8001708273,2018,2018-09-15T04:00:00.000Z,50,0,DUFFERIN ST,LAPPIN AV,8 m East of,Major Arterial,Toronto and East York,9,0,0,"11,14",14,11,43.666419,-79.438152,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,30 to 34,Minor,0,North,Bicycle,Going Ahead, , , , , , ,Driving Properly,Normal, ,Yes,Yes, , , , , , , , , , ,93,Dovercourt-Wallace Emerson-Junction (93),24
-79.463794,43.663642,80251560,5001667907,2015,2015-09-27T04:00:00.000Z,54,0,KEELE ST,ANNETTE ST,9 m South of,Major Arterial,Toronto and East York,4,0,0,11,0,0,43.663642,-79.463794,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,25 to 29,Major,0,South,Bicycle,Going Ahead, , , , , ,"Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.",Disobeyed Traffic Control,Normal, ,Yes, , , ,Yes, , , , , , , ,90,Junction Area (90),25
-79.463794,43.663642,80251561,5001667907,2015,2015-09-27T04:00:00.000Z,54,0,KEELE ST,ANNETTE ST,9 m South of,Major Arterial,Toronto and East York,4,0,0,11,0,0,43.663642,-79.463794,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Driver,35 to 39,None,0,South,Municipal Transit Bus (TTC),Turning Right,Driving Properly,Normal, , , , , , , ,Yes, , , ,Yes, , , , , , , ,90,Junction Area (90),26
-79.373218,43.653655,80942711,8000879667,2018,2018-05-16T04:00:00.000Z,55,0,QUEEN ST E,JARVIS  ST, ,Major Arterial,Toronto and East York,13,0,0,51,0,0,43.653655,-79.373218,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Driver,55 to 59,None,0,East,Intercity Bus,Turning Right,Driving Properly,Normal, , , , , , , ,Yes, , , ,Yes, , , , , , , ,73,Moss Park (73),27
-79.373218,43.653655,80942712,8000879667,2018,2018-05-16T04:00:00.000Z,55,0,QUEEN ST E,JARVIS  ST, ,Major Arterial,Toronto and East York,13,0,0,51,0,0,43.653655,-79.373218,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,30 to 34,Major,0,West,Bicycle,Going Ahead, , , , , ,"Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.",Disobeyed Traffic Control,Unknown, ,Yes, , , ,Yes, , , , , , , ,73,Moss Park (73),28
-79.43259,43.674545,7528633,1321287,2012,2012-09-16T04:00:00.000Z,101,1,DAVENPORT Rd,MOUNT ROYAL Ave, ,Minor Arterial,Toronto and East York,9,0,0,13,0,0,43.674545,-79.43259,Intersection,At Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Moped Driver,60 to 64,Major,0,East,Moped,Going Ahead,Following too Close,Had Been Drinking, , , , , , , ,Yes, , , , , , , ,Yes, , , ,94,Wychwood (94),29
-79.43259,43.674545,7528634,1321287,2012,2012-09-16T04:00:00.000Z,101,1,DAVENPORT Rd,MOUNT ROYAL Ave, ,Minor Arterial,Toronto and East York,9,0,0,13,0,0,43.674545,-79.43259,Intersection,At Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,30 to 34,Minor,0,East,Bicycle,Turning Left, , , , , ,Cyclist and Driver travelling in same direction. One vehicle rear-ended the other.,Driving Properly,Had Been Drinking, ,Yes, , , , , , , ,Yes, , , ,94,Wychwood (94),30
-79.407436,43.665908,80782764,7001656927,2017,2017-09-13T04:00:00.000Z,105,1,BLOOR ST W,BRUNSWICK AVE, ,Major Arterial,Toronto and East York,11,0,0,14,0,0,43.665908,-79.407436,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,20 to 24,Major,0,West,Bicycle,Making U Turn, , , , , ,Cyclist makes u-turn in-front of driver.,Improper Turn,Had Been Drinking, ,Yes, ,Yes, , , , , , , , , ,79,University (79),31
-79.407436,43.665908,80782765,7001656927,2017,2017-09-13T04:00:00.000Z,105,1,BLOOR ST W,BRUNSWICK AVE, ,Major Arterial,Toronto and East York,11,0,0,14,0,0,43.665908,-79.407436,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Motorcycle Driver,20 to 24,None,0,East,Motorcycle,Going Ahead,Driving Properly,Normal, , , , , , , ,Yes, ,Yes, , , , , , , , , ,79,University (79),32
-79.39229,43.646045,7393652,1285114,2012,2012-03-20T04:00:00.000Z,114,1,KING Stre W,PETER Stre, ,Major Arterial,Toronto and East York,10,0,0,52,0,0,43.646045,-79.39229,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Vehicle Owner,unknown, ,0, ,Other, , , , , , , , , , ,Yes,Yes, , , , , , , , , , ,77,Waterfront Communities-The Island (77),33
-79.39229,43.646045,7393653,1285114,2012,2012-03-20T04:00:00.000Z,114,1,KING Stre W,PETER Stre, ,Major Arterial,Toronto and East York,10,0,0,52,0,0,43.646045,-79.39229,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Driver,55 to 59,None,0,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal, , , , , , , ,Yes,Yes, , , , , , , , , , ,77,Waterfront Communities-The Island (77),34
-79.39229,43.646045,7393654,1285114,2012,2012-03-20T04:00:00.000Z,114,1,KING Stre W,PETER Stre, ,Major Arterial,Toronto and East York,10,0,0,52,0,0,43.646045,-79.39229,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,20 to 24,Major,0,South,Bicycle,Going Ahead, , , , , ,"Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.",Disobeyed Traffic Control,Inattentive, ,Yes,Yes, , , , , , , , , , ,77,Waterfront Communities-The Island (77),35
-79.406482,43.656649,7474950,1319584,2012,2012-09-02T04:00:00.000Z,115,1,COLLEGE ST,LIPPINCOTT ST, ,Major Arterial,Toronto and East York,11,0,0,14,0,0,43.656649,-79.406482,Intersection,At Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Vehicle Owner,unknown, ,0, , , , , , , , , , , , ,Yes,Yes, , , , , , , , , , ,78,Kensington-Chinatown (78),36
-79.406482,43.656649,7474951,1319584,2012,2012-09-02T04:00:00.000Z,115,1,COLLEGE ST,LIPPINCOTT ST, ,Major Arterial,Toronto and East York,11,0,0,14,0,0,43.656649,-79.406482,Intersection,At Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Driver,55 to 59,None,0,West,"Automobile, Station Wagon",Making U Turn,Improper Turn,Inattentive, , , , , , , ,Yes,Yes, , , , , , , , , , ,78,Kensington-Chinatown (78),37
-79.406482,43.656649,7474952,1319584,2012,2012-09-02T04:00:00.000Z,115,1,COLLEGE ST,LIPPINCOTT ST, ,Major Arterial,Toronto and East York,11,0,0,14,0,0,43.656649,-79.406482,Intersection,At Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,20 to 24,Major,0,West,Bicycle,Overtaking, , , , , ,Motorist makes u-turn in-front of cyclist.,Driving Properly,Normal, ,Yes,Yes, , , , , , , , , , ,78,Kensington-Chinatown (78),38
-79.427852,43.642298,80631878,4002803863,2014,2014-08-30T04:00:00.000Z,115,1,QUEEN ST W,DUFFERIN ST,50 m East of,Major Arterial,Toronto and East York,910,10,9,14,0,0,43.642298,-79.427852,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,25 to 29,Major,0,East, ,Going Ahead, , , , , ,Insufficient information (to determine cyclist crash type).,Other,Had Been Drinking, ,Yes, , , ,Yes, , , , , , , ,84,Little Portugal (84),39
-79.427852,43.642298,80631879,4002803863,2014,2014-08-30T04:00:00.000Z,115,1,QUEEN ST W,DUFFERIN ST,50 m East of,Major Arterial,Toronto and East York,910,10,9,14,0,0,43.642298,-79.427852,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Driver,35 to 39,None,0,West,Street Car,Going Ahead,Driving Properly,Normal, , , , , , , ,Yes, , , ,Yes, , , , , , , ,84,Little Portugal (84),40
-79.370693,43.671954,80171679,4002750756,2014,2014-08-22T04:00:00.000Z,122,1,BLOOR ST E,PARLIAMENT ST, ,Major Arterial,Toronto and East York,13,0,0,"51,53",53,51,43.671954,-79.370693,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,25 to 29,Major,0,East,Bicycle,Going Ahead, , , , , ,Motorist turned left across cyclists path.,Driving Properly,Normal, ,Yes,Yes, , , , , , ,Yes, , , ,71,Cabbagetown-South St.James Town (71),41
-79.370693,43.671954,80171680,4002750756,2014,2014-08-22T04:00:00.000Z,122,1,BLOOR ST E,PARLIAMENT ST, ,Major Arterial,Toronto and East York,13,0,0,"51,53",53,51,43.671954,-79.370693,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,40 to 44,None,0,West,"Automobile, Station Wagon",Turning Left,Failed to Yield Right of Way,Inattentive, , , , , , , ,Yes,Yes, , , , , , ,Yes, , , ,71,Cabbagetown-South St.James Town (71),42
-79.38899,43.656345,7645161,1301986,2012,2012-06-28T04:00:00.000Z,155,1,UNIVERSITY AVE,ELM ST, ,Major Arterial,Toronto and East York,11,0,0,52,0,0,43.656345,-79.38899,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Driver,40 to 44,None,0,West,"Automobile, Station Wagon",Turning Left,Driving Properly,Normal, , , , , , , ,Yes,Yes, , , , , , , , , , ,78,Kensington-Chinatown (78),43
-79.38899,43.656345,7645162,1301986,2012,2012-06-28T04:00:00.000Z,155,1,UNIVERSITY AVE,ELM ST, ,Major Arterial,Toronto and East York,11,0,0,52,0,0,43.656345,-79.38899,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,50 to 54,Major,0,East,Bicycle,Going Ahead, , , , , ,"Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.",Other,Unknown, ,Yes,Yes, , , , , , , , , , ,78,Kensington-Chinatown (78),44
-79.374339,43.662905,80242116,5001034900,2015,2015-06-20T04:00:00.000Z,155,1,CARLTON ST,HOMEWOOD AVE, ,Minor Arterial,Toronto and East York,13,0,0,51,0,0,43.662905,-79.374339,Intersection,At Intersection,Stop Sign,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,40 to 44,Major,0,South,Bicycle,Going Ahead, , , , , ,"Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.",Disobeyed Traffic Control,Had Been Drinking, ,Yes,Yes, , , , , , , , , , ,73,Moss Park (73),45
-79.374339,43.662905,80242117,5001034900,2015,2015-06-20T04:00:00.000Z,155,1,CARLTON ST,HOMEWOOD AVE, ,Minor Arterial,Toronto and East York,13,0,0,51,0,0,43.662905,-79.374339,Intersection,At Intersection,Stop Sign,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Driver,40 to 44,None,0,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal, , , , , , , ,Yes,Yes, , , , , , , , , , ,73,Moss Park (73),46
-79.42309,43.675545,7841611,1366140,2013,2013-06-27T04:00:00.000Z,205,2,DAVENPORT Rd,CHRISTIE St, ,Minor Arterial,Toronto and East York,12,0,0,13,0,0,43.675545,-79.42309,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Driver,unknown,None,0,West,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,Unknown, , , , , , , ,Yes,Yes, , , , , , ,Yes,Yes, , ,94,Wychwood (94),47
-79.42309,43.675545,7841612,1366140,2013,2013-06-27T04:00:00.000Z,205,2,DAVENPORT Rd,CHRISTIE St, ,Minor Arterial,Toronto and East York,12,0,0,13,0,0,43.675545,-79.42309,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,50 to 54,Major,0,North,Bicycle,Going Ahead, , , , , ,"Motorist without ROW drives into path of cyclist at inter, lnwy, dwy-Driver not turn.",Driving Properly,Normal, ,Yes,Yes, , , , , , ,Yes,Yes, , ,94,Wychwood (94),48
-79.45139,43.653645,5373509,1044518,2008,2008-06-15T04:00:00.000Z,215,2,DUNDAS ST W,RONCESVALLES AVE, ,Minor Arterial,Toronto and East York,4,0,0,11,0,0,43.653645,-79.45139,Mid-Block, ,No Control,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,unknown,None,0,West,"Automobile, Station Wagon",Going Ahead,Lost control,Normal, , , , , , , ,Yes,Yes, , , , , , , , , , ,86,Roncesvalles (86),49
-79.45139,43.653645,5373510,1044518,2008,2008-06-15T04:00:00.000Z,215,2,DUNDAS ST W,RONCESVALLES AVE, ,Minor Arterial,Toronto and East York,4,0,0,11,0,0,43.653645,-79.45139,Mid-Block, ,No Control,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,35 to 39,Major,0,West,Bicycle,Going Ahead, , , , , ,Motorist loses control and strikes cyclist.,Driving Properly,Normal, ,Yes,Yes, , , , , , , , , , ,86,Roncesvalles (86),50
-79.42349,43.646145,5431406,1069861,2008,2008-11-14T05:00:00.000Z,226,2,DOVERCOURT RD,ARGYLE ST, ,Collector,Toronto and East York,910,10,9,14,0,0,43.646145,-79.42349,Intersection, ,No Control,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,Vehicle Owner,unknown, ,0, ,Other, , , , , , , , , , ,Yes,Yes, , , , , , , , , , ,84,Little Portugal (84),51
